# step pe stressx strain maxforce press lx ly lz pxx pyy pzz pxy pxz pyz
1 -16037.561816720999559 431090752.35265898705 0.0050000000000002499043 9.9845893517642227533e-09 -119.85341879468603565 85.560473971617710731 81.705996432429529364 235.27161577901676992 -262.10304053114526823 -97.457215775057619567 -7.7855227654418668413e-08 -219.30797861876877164 -9.5717499597808860961e-11 -7.8665660147206445014e-11
2 -16035.549903782499314 869405029.46164894104 0.010000000000000300315 9.7874039260743987819e-09 -240.64368674276590809 85.986147971476512453 81.705996432429529364 235.27161577901676992 -525.98116012802222485 -195.94990041901655786 3.1874108161326356457e-07 -216.84519883387298478 1.0943137466508707391e-11 1.9980802080403312013e-11
3 -16032.187353510300454 1313794883.2712500095 0.015000000000000400166 9.5210748955075808458e-09 -361.94864263812303307 86.411821971335314174 81.705996432429529364 235.27161577901676992 -790.91705041666307352 -294.92887713012368067 -3.67582350042321804e-07 -214.43904897392977205 -7.2062640519514648188e-13 7.1096464868409484663e-11
4 -16027.47004713339993 1763480807.2620000839 0.020000000000000500017 9.7109993300905078082e-09 -483.48278637991319329 86.837495971194115896 81.705996432429529364 235.27161577901676992 -1056.4281859311313383 -394.02017365764470469 4.4903643777108325688e-07 -212.09981451209660008 -4.3492366208532851707e-11 -2.3635938155308442586e-11
5 -16021.396138284400877 2217757376.2372698784 0.025000000000000601602 9.7750328022469504856e-09 -605.01054314258885825 87.263169971052917617 81.705996432429529364 235.27161577901676992 -1322.0856189003116015 -492.9460106358367284 1.0838171084332080305e-07 -209.82694155215671117 -7.148806059397636917e-11 -4.5972808382093378035e-11
6 -16013.966077322300407 2675799154.5519800186 0.030000000000000699718 9.908778441669612223e-09 -726.30333936591489419 87.688843970911719339 81.705996432429529364 235.27161577901676992 -1587.3975353485286632 -591.51248299971689448 2.5050113055630529541e-07 -207.57784521097886454 2.8646634970139108197e-11 -4.9020091762678292965e-11
7 -16005.228716499699658 3132690395.7328600883 0.035000000000000801303 9.7167034110439547173e-09 -846.36443580616605686 88.11451797077052106 81.705996432429529364 235.27161577901676992 -1849.4668015479080623 -689.62650656711070951 6.9652052590579643166e-07 -203.7747963967063356 -7.134741516847746375e-11 -1.5940289868394186171e-11
8 -15995.106561067799703 3598338998.5971899033 0.040000000000000798805 9.7952432951176102704e-09 -967.09762623300014184 88.540191970629322782 81.705996432429529364 235.27161577901676992 -2114.161455080099131 -787.1314243930135035 7.741121848114390042e-07 -202.17737336110383239 -2.9213758936763826122e-11 7.5628063114852433138e-12
9 -15983.63560035249975 4066170015.5283899307 0.045000000000000900391 9.994092382266891801e-09 -1087.1433788179292605 88.965865970488124503 81.705996432429529364 235.27161577901676992 -2377.5992617793503996 -883.83087453091843599 -1.4351835777713012365e-07 -200.66876038958974959 -3.4855721626781699546e-11 2.2470043940956746681e-11
10 -15970.823093191900625 4535594887.6469097137 0.050000000000001001976 9.8076022906914849324e-09 -1206.3545098967294962 89.391539970346926225 81.705996432429529364 235.27161577901676992 -2639.4556691433531341 -979.60786042153051767 -1.2530437674220037345e-07 -199.25163172138644541 7.418283367796194411e-11 1.0762693130143887103e-10
